Census_Tract,FIPS_Code,Formatted_FIPS,num_black_hhs
"42101000100, PA",42101000100,42101000100,115
"42101000200, PA",42101000200,42101000200,26
"42101000300, PA",42101000300,42101000300,119
"42101000401, PA",42101000401,42101000401,210
"42101000402, PA",42101000402,42101000402,154
"42101000500, PA",42101000500,42101000500,114
"42101000600, PA",42101000600,42101000600,54
"42101000700, PA",42101000700,42101000700,260
"42101000801, PA",42101000801,42101000801,0
"42101000803, PA",42101000803,42101000803,54
"42101000804, PA",42101000804,42101000804,67
"42101000901, PA",42101000901,42101000901,80
"42101000902, PA",42101000902,42101000902,95
"42101001001, PA",42101001001,42101001001,41
"42101001002, PA",42101001002,42101001002,33
"42101001101, PA",42101001101,42101001101,102
"42101001102, PA",42101001102,42101001102,99
"42101001201, PA",42101001201,42101001201,93
"42101001202, PA",42101001202,42101001202,73
"42101001300, PA",42101001300,42101001300,600
"42101001400, PA",42101001400,42101001400,623
"42101001500, PA",42101001500,42101001500,175
"42101001600, PA",42101001600,42101001600,34
"42101001700, PA",42101001700,42101001700,112
"42101001800, PA",42101001800,42101001800,180
"42101001900, PA",42101001900,42101001900,433
"42101002000, PA",42101002000,42101002000,485
"42101002100, PA",42101002100,42101002100,528
"42101002200, PA",42101002200,42101002200,378
"42101002300, PA",42101002300,42101002300,12
"42101002400, PA",42101002400,42101002400,171
"42101002500, PA",42101002500,42101002500,398
"42101002701, PA",42101002701,42101002701,199
"42101002702, PA",42101002702,42101002702,100
"42101002801, PA",42101002801,42101002801,55
"42101002802, PA",42101002802,42101002802,167
"42101002900, PA",42101002900,42101002900,46
"42101003001, PA",42101003001,42101003001,336
"42101003002, PA",42101003002,42101003002,636
"42101003100, PA",42101003100,42101003100,1283
"42101003200, PA",42101003200,42101003200,1297
"42101003300, PA",42101003300,42101003300,937
"42101003600, PA",42101003600,42101003600,1499
"42101003701, PA",42101003701,42101003701,1374
"42101003702, PA",42101003702,42101003702,623
"42101003800, PA",42101003800,42101003800,9
"42101003901, PA",42101003901,42101003901,132
"42101003902, PA",42101003902,42101003902,17
"42101004001, PA",42101004001,42101004001,101
"42101004002, PA",42101004002,42101004002,97
"42101004101, PA",42101004101,42101004101,387
"42101004102, PA",42101004102,42101004102,241
"42101004201, PA",42101004201,42101004201,32
"42101004202, PA",42101004202,42101004202,87
"42101005000, PA",42101005000,42101005000,0
"42101005400, PA",42101005400,42101005400,418
"42101005500, PA",42101005500,42101005500,1901
"42101005600, PA",42101005600,42101005600,487
"42101006000, PA",42101006000,42101006000,1604
"42101006100, PA",42101006100,42101006100,885
"42101006200, PA",42101006200,42101006200,1223
"42101006300, PA",42101006300,42101006300,1065
"42101006400, PA",42101006400,42101006400,1150
"42101006500, PA",42101006500,42101006500,1714
"42101006600, PA",42101006600,42101006600,1069
"42101006700, PA",42101006700,42101006700,2153
"42101006900, PA",42101006900,42101006900,1005
"42101007000, PA",42101007000,42101007000,1429
"42101007101, PA",42101007101,42101007101,799
"42101007102, PA",42101007102,42101007102,1588
"42101007200, PA",42101007200,42101007200,1566
"42101007300, PA",42101007300,42101007300,880
"42101007400, PA",42101007400,42101007400,1279
"42101007700, PA",42101007700,42101007700,197
"42101007800, PA",42101007800,42101007800,493
"42101007900, PA",42101007900,42101007900,618
"42101008000, PA",42101008000,42101008000,946
"42101008101, PA",42101008101,42101008101,959
"42101008102, PA",42101008102,42101008102,1675
"42101008200, PA",42101008200,42101008200,2325
"42101008301, PA",42101008301,42101008301,1561
"42101008302, PA",42101008302,42101008302,1875
"42101008400, PA",42101008400,42101008400,1638
"42101008500, PA",42101008500,42101008500,2254
"42101008601, PA",42101008601,42101008601,444
"42101008602, PA",42101008602,42101008602,890
"42101008701, PA",42101008701,42101008701,196
"42101008702, PA",42101008702,42101008702,100
"42101008801, PA",42101008801,42101008801,0
"42101008802, PA",42101008802,42101008802,193
"42101009000, PA",42101009000,42101009000,28
"42101009100, PA",42101009100,42101009100,681
"42101009200, PA",42101009200,42101009200,891
"42101009300, PA",42101009300,42101009300,1625
"42101009400, PA",42101009400,42101009400,1697
"42101009500, PA",42101009500,42101009500,1325
"42101009600, PA",42101009600,42101009600,1518
"42101009801, PA",42101009801,42101009801,780
"42101009802, PA",42101009802,42101009802,1731
"42101010000, PA",42101010000,42101010000,1362
"42101010100, PA",42101010100,42101010100,2014
"42101010200, PA",42101010200,42101010200,1207
"42101010300, PA",42101010300,42101010300,812
"42101010400, PA",42101010400,42101010400,1169
"42101010500, PA",42101010500,42101010500,1311
"42101010600, PA",42101010600,42101010600,510
"42101010700, PA",42101010700,42101010700,1148
"42101010800, PA",42101010800,42101010800,1317
"42101010900, PA",42101010900,42101010900,779
"42101011000, PA",42101011000,42101011000,1173
"42101011100, PA",42101011100,42101011100,1108
"42101011200, PA",42101011200,42101011200,1976
"42101011300, PA",42101011300,42101011300,1079
"42101011400, PA",42101011400,42101011400,2676
"42101011500, PA",42101011500,42101011500,1483
"42101011700, PA",42101011700,42101011700,247
"42101011800, PA",42101011800,42101011800,2084
"42101011900, PA",42101011900,42101011900,1983
"42101012000, PA",42101012000,42101012000,448
"42101012100, PA",42101012100,42101012100,1015
"42101012201, PA",42101012201,42101012201,904
"42101012203, PA",42101012203,42101012203,74
"42101012204, PA",42101012204,42101012204,1423
"42101012500, PA",42101012500,42101012500,424
"42101013100, PA",42101013100,42101013100,368
"42101013200, PA",42101013200,42101013200,774
"42101013300, PA",42101013300,42101013300,310
"42101013401, PA",42101013401,42101013401,93
"42101013402, PA",42101013402,42101013402,133
"42101013500, PA",42101013500,42101013500,222
"42101013601, PA",42101013601,42101013601,32
"42101013602, PA",42101013602,42101013602,106
"42101013700, PA",42101013700,42101013700,1287
"42101013800, PA",42101013800,42101013800,566
"42101013900, PA",42101013900,42101013900,451
"42101014000, PA",42101014000,42101014000,902
"42101014100, PA",42101014100,42101014100,632
"42101014200, PA",42101014200,42101014200,324
"42101014300, PA",42101014300,42101014300,21
"42101014400, PA",42101014400,42101014400,193
"42101014500, PA",42101014500,42101014500,448
"42101014600, PA",42101014600,42101014600,806
"42101014700, PA",42101014700,42101014700,639
"42101014800, PA",42101014800,42101014800,351
"42101014900, PA",42101014900,42101014900,1333
"42101015101, PA",42101015101,42101015101,695
"42101015102, PA",42101015102,42101015102,1702
"42101015200, PA",42101015200,42101015200,1690
"42101015300, PA",42101015300,42101015300,557
"42101015600, PA",42101015600,42101015600,100
"42101015700, PA",42101015700,42101015700,95
"42101015800, PA",42101015800,42101015800,88
"42101016000, PA",42101016000,42101016000,47
"42101016100, PA",42101016100,42101016100,108
"42101016200, PA",42101016200,42101016200,151
"42101016300, PA",42101016300,42101016300,63
"42101016400, PA",42101016400,42101016400,556
"42101016500, PA",42101016500,42101016500,933
"42101016600, PA",42101016600,42101016600,574
"42101016701, PA",42101016701,42101016701,1109
"42101016702, PA",42101016702,42101016702,1008
"42101016800, PA",42101016800,42101016800,1494
"42101016901, PA",42101016901,42101016901,1209
"42101016902, PA",42101016902,42101016902,1989
"42101017000, PA",42101017000,42101017000,877
"42101017100, PA",42101017100,42101017100,1299
"42101017201, PA",42101017201,42101017201,1112
"42101017202, PA",42101017202,42101017202,1633
"42101017300, PA",42101017300,42101017300,1130
"42101017400, PA",42101017400,42101017400,765
"42101017500, PA",42101017500,42101017500,509
"42101017601, PA",42101017601,42101017601,194
"42101017602, PA",42101017602,42101017602,242
"42101017701, PA",42101017701,42101017701,379
"42101017702, PA",42101017702,42101017702,275
"42101017800, PA",42101017800,42101017800,523
"42101017900, PA",42101017900,42101017900,358
"42101018001, PA",42101018001,42101018001,0
"42101018002, PA",42101018002,42101018002,0
"42101018300, PA",42101018300,42101018300,0
"42101018400, PA",42101018400,42101018400,0
"42101018800, PA",42101018800,42101018800,575
"42101019000, PA",42101019000,42101019000,578
"42101019100, PA",42101019100,42101019100,268
"42101019200, PA",42101019200,42101019200,551
"42101019501, PA",42101019501,42101019501,161
"42101019502, PA",42101019502,42101019502,111
"42101019700, PA",42101019700,42101019700,709
"42101019800, PA",42101019800,42101019800,734
"42101019900, PA",42101019900,42101019900,622
"42101020000, PA",42101020000,42101020000,426
"42101020101, PA",42101020101,42101020101,1363
"42101020102, PA",42101020102,42101020102,1410
"42101020200, PA",42101020200,42101020200,1991
"42101020300, PA",42101020300,42101020300,886
"42101020400, PA",42101020400,42101020400,1026
"42101020500, PA",42101020500,42101020500,1206
"42101020600, PA",42101020600,42101020600,206
"42101020700, PA",42101020700,42101020700,250
"42101020800, PA",42101020800,42101020800,455
"42101020900, PA",42101020900,42101020900,165
"42101021000, PA",42101021000,42101021000,189
"42101021100, PA",42101021100,42101021100,149
"42101021200, PA",42101021200,42101021200,234
"42101021300, PA",42101021300,42101021300,121
"42101021400, PA",42101021400,42101021400,117
"42101021500, PA",42101021500,42101021500,190
"42101021600, PA",42101021600,42101021600,202
"42101021700, PA",42101021700,42101021700,370
"42101021800, PA",42101021800,42101021800,721
"42101021900, PA",42101021900,42101021900,22
"42101022000, PA",42101022000,42101022000,61
"42101023100, PA",42101023100,42101023100,11
"42101023500, PA",42101023500,42101023500,180
"42101023600, PA",42101023600,42101023600,337
"42101023700, PA",42101023700,42101023700,1149
"42101023800, PA",42101023800,42101023800,1213
"42101023900, PA",42101023900,42101023900,650
"42101024000, PA",42101024000,42101024000,938
"42101024100, PA",42101024100,42101024100,530
"42101024200, PA",42101024200,42101024200,1477
"42101024300, PA",42101024300,42101024300,1232
"42101024400, PA",42101024400,42101024400,837
"42101024500, PA",42101024500,42101024500,1469
"42101024600, PA",42101024600,42101024600,936
"42101024700, PA",42101024700,42101024700,1493
"42101024800, PA",42101024800,42101024800,666
"42101024900, PA",42101024900,42101024900,1167
"42101025200, PA",42101025200,42101025200,2327
"42101025300, PA",42101025300,42101025300,1418
"42101025400, PA",42101025400,42101025400,1542
"42101025500, PA",42101025500,42101025500,640
"42101025600, PA",42101025600,42101025600,498
"42101025700, PA",42101025700,42101025700,720
"42101025800, PA",42101025800,42101025800,638
"42101025900, PA",42101025900,42101025900,1977
"42101026000, PA",42101026000,42101026000,1160
"42101026100, PA",42101026100,42101026100,1296
"42101026200, PA",42101026200,42101026200,1585
"42101026301, PA",42101026301,42101026301,1413
"42101026302, PA",42101026302,42101026302,1887
"42101026400, PA",42101026400,42101026400,2135
"42101026500, PA",42101026500,42101026500,1483
"42101026600, PA",42101026600,42101026600,2136
"42101026700, PA",42101026700,42101026700,2469
"42101026800, PA",42101026800,42101026800,1554
"42101026900, PA",42101026900,42101026900,507
"42101027000, PA",42101027000,42101027000,744
"42101027100, PA",42101027100,42101027100,509
"42101027200, PA",42101027200,42101027200,1332
"42101027300, PA",42101027300,42101027300,1330
"42101027401, PA",42101027401,42101027401,562
"42101027402, PA",42101027402,42101027402,1481
"42101027500, PA",42101027500,42101027500,1284
"42101027600, PA",42101027600,42101027600,1489
"42101027700, PA",42101027700,42101027700,1697
"42101027800, PA",42101027800,42101027800,1648
"42101027901, PA",42101027901,42101027901,1292
"42101027902, PA",42101027902,42101027902,786
"42101028000, PA",42101028000,42101028000,1572
"42101028100, PA",42101028100,42101028100,1298
"42101028200, PA",42101028200,42101028200,1510
"42101028300, PA",42101028300,42101028300,1967
"42101028400, PA",42101028400,42101028400,1059
"42101028500, PA",42101028500,42101028500,457
"42101028600, PA",42101028600,42101028600,1433
"42101028700, PA",42101028700,42101028700,274
"42101028800, PA",42101028800,42101028800,270
"42101028901, PA",42101028901,42101028901,254
"42101028902, PA",42101028902,42101028902,733
"42101029000, PA",42101029000,42101029000,866
"42101029100, PA",42101029100,42101029100,654
"42101029200, PA",42101029200,42101029200,419
"42101029300, PA",42101029300,42101029300,299
"42101029400, PA",42101029400,42101029400,593
"42101029800, PA",42101029800,42101029800,763
"42101029900, PA",42101029900,42101029900,782
"42101030000, PA",42101030000,42101030000,1646
"42101030100, PA",42101030100,42101030100,1131
"42101030200, PA",42101030200,42101030200,1478
"42101030501, PA",42101030501,42101030501,1181
"42101030502, PA",42101030502,42101030502,1000
"42101030600, PA",42101030600,42101030600,884
"42101030700, PA",42101030700,42101030700,534
"42101030800, PA",42101030800,42101030800,375
"42101030900, PA",42101030900,42101030900,545
"42101031000, PA",42101031000,42101031000,543
"42101031101, PA",42101031101,42101031101,700
"42101031102, PA",42101031102,42101031102,629
"42101031200, PA",42101031200,42101031200,785
"42101031300, PA",42101031300,42101031300,494
"42101031401, PA",42101031401,42101031401,429
"42101031402, PA",42101031402,42101031402,188
"42101031501, PA",42101031501,42101031501,51
"42101031502, PA",42101031502,42101031502,188
"42101031600, PA",42101031600,42101031600,317
"42101031700, PA",42101031700,42101031700,636
"42101031800, PA",42101031800,42101031800,658
"42101031900, PA",42101031900,42101031900,552
"42101032000, PA",42101032000,42101032000,315
"42101032100, PA",42101032100,42101032100,296
"42101032300, PA",42101032300,42101032300,510
"42101032500, PA",42101032500,42101032500,325
"42101032600, PA",42101032600,42101032600,258
"42101032900, PA",42101032900,42101032900,410
"42101033000, PA",42101033000,42101033000,428
"42101033101, PA",42101033101,42101033101,91
"42101033102, PA",42101033102,42101033102,136
"42101033200, PA",42101033200,42101033200,76
"42101033300, PA",42101033300,42101033300,196
"42101033400, PA",42101033400,42101033400,336
"42101033500, PA",42101033500,42101033500,239
"42101033600, PA",42101033600,42101033600,471
"42101033701, PA",42101033701,42101033701,212
"42101033702, PA",42101033702,42101033702,195
"42101033800, PA",42101033800,42101033800,254
"42101033900, PA",42101033900,42101033900,223
"42101034000, PA",42101034000,42101034000,124
"42101034100, PA",42101034100,42101034100,313
"42101034200, PA",42101034200,42101034200,205
"42101034400, PA",42101034400,42101034400,191
"42101034501, PA",42101034501,42101034501,205
"42101034502, PA",42101034502,42101034502,723
"42101034600, PA",42101034600,42101034600,382
"42101034701, PA",42101034701,42101034701,648
"42101034702, PA",42101034702,42101034702,167
"42101034801, PA",42101034801,42101034801,66
"42101034802, PA",42101034802,42101034802,799
"42101034803, PA",42101034803,42101034803,72
"42101034900, PA",42101034900,42101034900,368
"42101035100, PA",42101035100,42101035100,172
"42101035200, PA",42101035200,42101035200,28
"42101035301, PA",42101035301,42101035301,21
"42101035302, PA",42101035302,42101035302,222
"42101035500, PA",42101035500,42101035500,198
"42101035601, PA",42101035601,42101035601,68
"42101035602, PA",42101035602,42101035602,28
"42101035701, PA",42101035701,42101035701,83
"42101035702, PA",42101035702,42101035702,9
"42101035800, PA",42101035800,42101035800,38
"42101035900, PA",42101035900,42101035900,57
"42101036000, PA",42101036000,42101036000,161
"42101036100, PA",42101036100,42101036100,290
"42101036201, PA",42101036201,42101036201,98
"42101036202, PA",42101036202,42101036202,212
"42101036203, PA",42101036203,42101036203,67
"42101036301, PA",42101036301,42101036301,13
"42101036302, PA",42101036302,42101036302,275
"42101036303, PA",42101036303,42101036303,113
"42101036400, PA",42101036400,42101036400,23
"42101036501, PA",42101036501,42101036501,260
"42101036502, PA",42101036502,42101036502,0
"42101036600, PA",42101036600,42101036600,56
"42101036700, PA",42101036700,42101036700,186
"42101036900, PA",42101036900,42101036900,32
"42101037200, PA",42101037200,42101037200,221
"42101037300, PA",42101037300,42101037300,297
"42101037500, PA",42101037500,42101037500,544
"42101037600, PA",42101037600,42101037600,192
"42101037700, PA",42101037700,42101037700,734
"42101037800, PA",42101037800,42101037800,0
"42101037900, PA",42101037900,42101037900,0
"42101038000, PA",42101038000,42101038000,84
"42101038100, PA",42101038100,42101038100,78
"42101038200, PA",42101038200,42101038200,159
"42101038300, PA",42101038300,42101038300,273
"42101038400, PA",42101038400,42101038400,68
"42101038500, PA",42101038500,42101038500,57
"42101038600, PA",42101038600,42101038600,70
"42101038700, PA",42101038700,42101038700,30
"42101038800, PA",42101038800,42101038800,433
"42101038900, PA",42101038900,42101038900,1179
"42101039000, PA",42101039000,42101039000,1497
"42101980000, PA",42101980000,42101980000,10
"42101980100, PA",42101980100,42101980100,0
"42101980200, PA",42101980200,42101980200,0
"42101980300, PA",42101980300,42101980300,0
"42101980400, PA",42101980400,42101980400,0
"42101980500, PA",42101980500,42101980500,0
"42101980600, PA",42101980600,42101980600,0
"42101980700, PA",42101980700,42101980700,0
"42101980800, PA",42101980800,42101980800,0
"42101980900, PA",42101980900,42101980900,0
"42101989100, PA",42101989100,42101989100,0
